Id,Project,SATD comment,On-hold or not
11,Tomcat project,"/*
  * This method is slightly ugly; c'est la vie.
  * ""You cannot stop [ugliness], you can only hope to contain [it]""
  * (apologies to Marv Albert regarding MJ)
  */",no
12,Camel project,"/*
  * This method is used to walk around the NPE issue of CXF 2.0.4
  * org.apache.cxf.interceptor.FaultOutInterceptor.
  * This issue was fixed in CXF 2.0.5 and CXF 2.1, when we upgrade CXF to that version
  * we could remove this method from the interceptor
  */",yes
13,Tomcat project,"/*
  * TODO
  * Temporary method to aid in some refactoring.
  * It is currently expected that this method will be removed in a subsequent
  * refactoring.
  */",no
14,Hadoop project,"/*
  * TODO Get rid of this once JobId has it's own comparator
  */",yes
15,Hadoop project,"/*
  * TODO we need to change format of the image file
  * it should not contain version and namespace fields
  */",no
16,Tomcat project,"/*
  * TODO: Above sounds a little arbitrary. On the other hand, there is
  * no object referenced by Type.NULL so we can also say all the objects
  * referenced by Type.NULL were derived from java.lang.Object.
  * However, the Java Language's ""instanceof"" operator proves us wrong:
  * ""null"" is not referring to an instance of java.lang.Object :)
  */",no
17,Hadoop project,"/*
  * TODO: After YARN-2 is committed, we should call containerResource.getCpus()
  * (or equivalent) to multiply the weight by the number of requested cpus.
  */",yes
18,Tomcat project,"/*
  * TODO: expectations ? 
  * Fix docs - order matters
  * Crashes in chrome
  * 
  * Test with unit tests or:
  * google-chrome --use-flip=no-ssl 
  * --user-data-dir=/home/$USER/.config/google-chrome/Test 
  * http://localhost:8802/hello
  */",no
19,Tomcat project,"/*
  * TODO: expectations ? 
  * Fix docs - order matters
  * Crashes in chrome
  */",no
20,Camel project,"/*
  * TODO: is this case a norm ? should this case handled in a different way ?
  */",no
21,Camel project,"/*
  * will be fixed in next hazelcast version (1.9.3). Mail from Talip (21.02.2011):
  * 
  * I see. Hazelcast.shutdownAll() should cleanup instances (maps/queues). I just fixed it.
  * 
  * AtomicNumber.destroy() should also destroy the number and if you call atomicNumber.get() after the destroy it should throw IllegalStateException. It is also fixed.
  * 
  * set test to true by default. TODO: if we'll get the new hazelcast version I'll fix the test.
  */",yes
22,Tomcat project,"/*
  Notes on memory use ( from heap dumps ): 
  - buffers are not yet recycled ( the BBuffers used in channels )
  
  - each active connection consumes at least 26k - 2 buffers + head buffer
  ( 8k each )
  TODO: could 'peak' in the In buffer and move headRecv to HttpChannel
  
  
  - HttpChannel keeps about 64K ( for the hello world ).
  -- res is 25k
  -- req is 32k, BufferedIOReader 16k,
  
  TODO:
  - leak in NioThread.active - closed sockets not removed
  - need to rate-limit and queue requests - OOM
  - timeouts
  - seems few responses missing on large async requests (URL works) 
  */",no
23,Camel project,"/*
  TODO
  assertNotNull(""Could not find injected endpoint!"", bean.getEndpoint());
 
  cannot currently figure out how to be able to inject both Endpoint and MockEndpoint using a @Produces
  plugin without using explicit qualifier annotations to separate the two scenarios which is a bit ugly
  */",no
24,Camel project,"/*
  TODO this doesn't work in JAX-RS yet
 
  public ConvertersFromResource getConvertersFrom(@PathParam(""type"") Class type) {
 */",no
25,Tomcat project,"/* because there are problems with JDK1.1.6/SimpleDateFormat with
  * recognizing GMT, we have to create this workaround with the following
  * hardcoded strings */",no
26,Camel project,"/* EntityManagerFactory emf = getEntityManagerFactory();
  JpaTransactionManager transactionManager = new JpaTransactionManager(emf);
  transactionManager.afterPropertiesSet();
 
  final TransactionTemplate tranasctionTemplate = new TransactionTemplate(transactionManager);
  tranasctionTemplate.afterPropertiesSet();
 
  // lets auto-default to a JpaTemplate which implicitly creates a transaction
  // TODO surely there's a cleaner way to get the JpaTemplate to create a transaction if one is not present??
  return new JpaTemplate(emf) {
  @Override
  public Object execute(final JpaCallback action, final boolean exposeNativeEntityManager) throws DataAccessException {
  return tranasctionTemplate.execute(new TransactionCallback() {
  public Object doInTransaction(TransactionStatus status) {
  return doExecute(action, exposeNativeEntityManager);
  }
  });
 
  }
 
  public Object doExecute(final JpaCallback action, final boolean exposeNativeEntityManager) throws DataAccessException {
  return super.execute(action, exposeNativeEntityManager);
  }
  };*/",no
27,Hadoop project,"/* FIXME: may not need renameMapOutputForReduce() anymore? TEST!
 
 ${local.dir}/usercache/$user/appcache/$appId/$contId/ == $cwd for containers;
 contains launch_container.sh script, which, when executed, creates symlinks and 
 sets up env
  ""$local.dir""/usercache/$user/appcache/$appId/$contId/file.out
  ""$local.dir""/usercache/$user/appcache/$appId/$contId/file.out.idx (?)
  ""$local.dir""/usercache/$user/appcache/$appId/output/$taskId/ is where file.out* is moved after MapTask done
 
 OHO! no further need for this at all? $taskId is unique per subtask
 now => should work fine to leave alone. TODO: test with teragen or
 similar
  */",no
28,Hadoop project,"/* FIXME: may not need renameMapOutputForReduce() anymore? TEST!
 
 ${local.dir}/usercache/$user/appcache/$appId/$contId/ == $cwd for tasks;
 contains task.sh script, which, when executed, creates symlinks and sets up env
  ""$local.dir""/usercache/$user/appcache/$appId/$contId/file.out
  ""$local.dir""/usercache/$user/appcache/$appId/$contId/file.out.idx (?)
  ""$local.dir""/usercache/$user/appcache/$appId/output/$taskId/ is where file.out* is moved after MapTask done
 
 OHO! no further need for this at all? $taskId is unique per subtask
 now => should work fine to leave alone. TODO: test with teragen or
 similar
  */",no
29,Tomcat project,/* FIXME: need to do something reasonable here!! */,no
30,Hadoop project,"/* notes that get delegation token was called. Again this is hack for oozie 
  * to make sure we add history server delegation tokens to the credentials
  * for the job. Since the api only allows one delegation token to be returned, 
  * we have to add this hack.
  */",no
31,Hadoop project,"/* One common reason is that NameNode could be in safe mode.
  * Should we keep on retrying in that case?
  */",no
32,Hadoop project,"/* One common reason is that NameNode could be in safe mode.
  * Should we keep on retrying in that case?
  */",no
33,Hadoop project,"/* Should be this when multiple secure auths are supported and we can
  * dummy one out:
  * assertEquals(AuthenticationMethod.SECURE_AUTH_METHOD,
  * getAuthMethod(true, true, false));
  */",no
34,Tomcat project,"/* Special case ( XXX in future API make it separate type !)
  */",no
35,Camel project,"/* TODO
  assertTrue(""Processor should be a FilterProcessor but was: "" + processor + "" with type: "" + processor.getClass().getName(), processor instanceof FilterProcessor);
  FilterProcessor filterProcessor = (FilterProcessor) processor;
 
  SendProcessor sendProcessor = (SendProcessor) filterProcessor.getProcessor();
  assertEquals(""Endpoint URI"", ""queue:b"", sendProcessor.getDestination().getEndpointUri());
  */",no
36,Camel project,"/* TODO - currently process().to() results in two separate operations which have their own error handler
 
  .to(""mock:success"");
  */",no
37,Tomcat project,/* TODO: Check for access modifiers here. */,no
38,Tomcat project,"/* TODO: Check if assignment compatibility is sufficient.
  * What does Sun do?
  */",no
39,Tomcat project,"/* XXX change this to a better implementation using a variable
  that keeps track of the actual slotsUsed()-value monitoring
  all push()es and pop()s.
 */",no
40,Tomcat project,"/* XXX XXX XXX Need a major rewrite !!!!
  */",no
41,Tomcat project,"/**
  *
  * Link between JNDI and JMX. JNDI can be used for persistence ( it is
  * an API for storing hierarchical data and a perfect fit for that ), as
  * well as an alternate view of the MBean registry.
  *
  * If this component is enabled, all MBeans will be registered in JNDI, and
  * all attributes that are set via JMX can be stored in a DirContext.
  *
  * This acts as a ""recorder"" for creation of mbeans and attribute changes
  * done via JMX.
  *
  * XXX How can we control ( filter ) which mbeans will be registere ? Or
  * attributes ?
  * XXX How can we get the beans and attributes loaded before jndijmx ?
  *
  * The intended use:
  * - do whatever you want to start the application
  * - load JndiJmx as an mbean
  * - make changes via JMX. All changes are recorded
  * - you can use JndiJmx to save the changes in a Jndi context.
  * - you can use JndiJmx to load changes from a JndiContext and replay them.
  *
  * The main benefit is that only changed attributes are saved, and the Jndi
  * layer can preserve most of the original structure of the config file. The
  * alternative is to override the config files with config info extracted
  * from the live objects - but it's very hard to save only what was actually
  * changed and preserve structure and comments.
  *
  * @author Costin Manolache
  */",no
42,Tomcat project,"/**
  * 
  * Do the compilation - without JspServletWrapper
  * 
  * Options: 
  * - jasper.jar in classpath, we do Class.forName for main()
  * - TODO: exec jasper.sh ( or any other script set in params ) 
  * - TODO: redirect to a different servlet
  * 
  * Not used right - see previous method for a safer approach
  * 
  * @param ctx
  * @param jspPath
  */",no
43,Hadoop project,"/**
  * * TODO: Copied for now from TaskAttemptImpl.java ... fixme
  * @param strs
  * @return
  */",no
44,Tomcat project,"/**
  * A replacement char for ""\$"".
  * XXX This is a hack to avoid changing EL interpreter to recognize ""\$""
  */",no
45,Camel project,"/**
  * a route involving a external class: aggregationStrategy
  * 
  * @throws Exception
  * TODO: fix this test!
  */",no
46,Camel project,"/**
  * a route involving a external class: aggregationStrategy
  * 
  * TODO: fix this test!
  */",no
47,Camel project,"/**
  * a route involving a external class: CamelException
  * 
  * @throws Exception
  * TODO: fix this test!
  */",no
48,Camel project,"/**
  * a route involving a external class: validator
  * 
  * @throws Exception TODO: fix this test!
  */",no
49,Camel project,"/**
  * a route involving a external class: validator
  * 
  * TODO: fix this test!
  */",no
50,Camel project,"/**
  * a set of routes that uses aggregate DSL
  * 
  * @throws Exception
  * TODO: fix this test!
  */",no
51,Tomcat project,"/**
  * A single packet for communication between the web server and the
  * container.
  *
  * In a more generic sense, it's the event that drives the processing chain.
  * XXX Use Event, make Msg a particular case.
  *
  * @author Henri Gomez [hgomez@apache.org]
  * @author Dan Milstein [danmil@shore.net]
  * @author Keith Wannamaker [Keith@Wannamaker.org]
  * @author Kevin Seguin
  * @author Costin Manolache
  */",no
52,Tomcat project,"/**
  * A small mbean that will act as a proxy for mod_jk2.
  *
  * For efficiency, it'll get bulk results and cache them - you
  * can force an update by calling the refreshAttributes and refreshMetadata
  * operations on this mbean.
  *
  * TODO: implement the user/pass auth ( right now you must use IP based security )
  * TODO: eventually support https
  * TODO: support for metadata ( mbean-descriptors ) for description and type conversions
  * TODO: filter out trivial components ( mutexes, etc )
  *
  * @author Costin Manolache
  */",no
53,Tomcat project,"/**
  * A SPNEGO authenticator that uses the SPENGO/Kerberos support built in to Java
  * 6. Successful Kerberos authentication depends on the correct configuration of
  * multiple components. If the configuration is invalid, the error messages are
  * often cryptic although a Google search will usually point you in the right
  * direction.
  * <p>
  * TODO:
  * <ul>
  * <li>Add support for delegating credentials? Need this if we want to
  * authenticate to a realm as the user. This is likely to result in a fair
  * amount of internal refactoring.</li>
  * </ul>
  * <p>
  * TBDs:
  * <ul>
  * <li>Does the domain name have to be in upper case?</li>
  * <li>Does the SPN have to start with HTTP/...?</li>
  * <li>Can a port number be appended to the end of the host in the SPN?</li>
  * <li>Can the domain be left off the user in the ktpass command?</li>
  * <li>What are the limitations on the account that Tomcat can run as? SPN
  * associated account works, domain admin works, local admin doesn't
  * work</li>
  * </ul>
  */",no
54,Camel project,"/**
  * a wireTap with two parameters
  * 
  * @throws Exception
  * TODO: fix this test!
  */",no
55,Tomcat project,"/**
  * Abstract implementation of the <b>Container</b> interface, providing common
  * functionality required by nearly every implementation. Classes extending
  * this base class must implement <code>getInfo()</code>, and may implement
  * a replacement for <code>invoke()</code>.
  * <p>
  * All subclasses of this abstract base class will include support for a
  * Pipeline object that defines the processing to be performed for each request
  * received by the <code>invoke()</code> method of this class, utilizing the
  * ""Chain of Responsibility"" design pattern. A subclass should encapsulate its
  * own processing functionality as a <code>Valve</code>, and configure this
  * Valve into the pipeline by calling <code>setBasic()</code>.
  * <p>
  * This implementation fires property change events, per the JavaBeans design
  * pattern, for changes in singleton properties. In addition, it fires the
  * following <code>ContainerEvent</code> events to listeners who register
  * themselves with <code>addContainerListener()</code>:
  * <table border=1>
  * <tr>
  * <th>Type</th>
  * <th>Data</th>
  * <th>Description</th>
  * </tr>
  * <tr>
  * <td align=center><code>addChild</code></td>
  * <td align=center><code>Container</code></td>
  * <td>Child container added to this Container.</td>
  * </tr>
  * <tr>
  * <td align=center><code>addValve</code></td>
  * <td align=center><code>Valve</code></td>
  * <td>Valve added to this Container.</td>
  * </tr>
  * <tr>
  * <td align=center><code>removeChild</code></td>
  * <td align=center><code>Container</code></td>
  * <td>Child container removed from this Container.</td>
  * </tr>
  * <tr>
  * <td align=center><code>removeValve</code></td>
  * <td align=center><code>Valve</code></td>
  * <td>Valve removed from this Container.</td>
  * </tr>
  * <tr>
  * <td align=center><code>start</code></td>
  * <td align=center><code>null</code></td>
  * <td>Container was started.</td>
  * </tr>
  * <tr>
  * <td align=center><code>stop</code></td>
  * <td align=center><code>null</code></td>
  * <td>Container was stopped.</td>
  * </tr>
  * </table>
  * Subclasses that fire additional events should document them in the
  * class comments of the implementation class.
  * 
  * TODO: Review synchronisation around background processing. See bug 47024. 
  * 
  * @author Craig R. McClanahan
  */",no
56,Tomcat project,"/**
  * Abstract implementation of the <b>Container</b> interface, providing common
  * functionality required by nearly every implementation. Classes extending
  * this base class must may implement a replacement for <code>invoke()</code>.
  * <p>
  * All subclasses of this abstract base class will include support for a
  * Pipeline object that defines the processing to be performed for each request
  * received by the <code>invoke()</code> method of this class, utilizing the
  * ""Chain of Responsibility"" design pattern. A subclass should encapsulate its
  * own processing functionality as a <code>Valve</code>, and configure this
  * Valve into the pipeline by calling <code>setBasic()</code>.
  * <p>
  * This implementation fires property change events, per the JavaBeans design
  * pattern, for changes in singleton properties. In addition, it fires the
  * following <code>ContainerEvent</code> events to listeners who register
  * themselves with <code>addContainerListener()</code>:
  * <table border=1>
  * <tr>
  * <th>Type</th>
  * <th>Data</th>
  * <th>Description</th>
  * </tr>
  * <tr>
  * <td align=center><code>addChild</code></td>
  * <td align=center><code>Container</code></td>
  * <td>Child container added to this Container.</td>
  * </tr>
  * <tr>
  * <td align=center><code>{@link #getPipeline() pipeline}.addValve</code></td>
  * <td align=center><code>Valve</code></td>
  * <td>Valve added to this Container.</td>
  * </tr>
  * <tr>
  * <td align=center><code>removeChild</code></td>
  * <td align=center><code>Container</code></td>
  * <td>Child container removed from this Container.</td>
  * </tr>
  * <tr>
  * <td align=center><code>{@link #getPipeline() pipeline}.removeValve</code></td>
  * <td align=center><code>Valve</code></td>
  * <td>Valve removed from this Container.</td>
  * </tr>
  * <tr>
  * <td align=center><code>start</code></td>
  * <td align=center><code>null</code></td>
  * <td>Container was started.</td>
  * </tr>
  * <tr>
  * <td align=center><code>stop</code></td>
  * <td align=center><code>null</code></td>
  * <td>Container was stopped.</td>
  * </tr>
  * </table>
  * Subclasses that fire additional events should document them in the
  * class comments of the implementation class.
  *
  * TODO: Review synchronisation around background processing. See bug 47024.
  *
  * @author Craig R. McClanahan
  */",no
57,Tomcat project,"/**
  * Abstract implementation of the <b>Container</b> interface, providing common
  * functionality required by nearly every implementation. Classes extending
  * this base class must may implement a replacement for <code>invoke()</code>.
  * <p>
  * All subclasses of this abstract base class will include support for a
  * Pipeline object that defines the processing to be performed for each request
  * received by the <code>invoke()</code> method of this class, utilizing the
  * ""Chain of Responsibility"" design pattern. A subclass should encapsulate its
  * own processing functionality as a <code>Valve</code>, and configure this
  * Valve into the pipeline by calling <code>setBasic()</code>.
  * <p>
  * This implementation fires property change events, per the JavaBeans design
  * pattern, for changes in singleton properties. In addition, it fires the
  * following <code>ContainerEvent</code> events to listeners who register
  * themselves with <code>addContainerListener()</code>:
  * <table border=1>
  * <tr>
  * <th>Type</th>
  * <th>Data</th>
  * <th>Description</th>
  * </tr>
  * <tr>
  * <td align=center><code>addChild</code></td>
  * <td align=center><code>Container</code></td>
  * <td>Child container added to this Container.</td>
  * </tr>
  * <tr>
  * <td align=center><code>addValve</code></td>
  * <td align=center><code>Valve</code></td>
  * <td>Valve added to this Container.</td>
  * </tr>
  * <tr>
  * <td align=center><code>removeChild</code></td>
  * <td align=center><code>Container</code></td>
  * <td>Child container removed from this Container.</td>
  * </tr>
  * <tr>
  * <td align=center><code>removeValve</code></td>
  * <td align=center><code>Valve</code></td>
  * <td>Valve removed from this Container.</td>
  * </tr>
  * <tr>
  * <td align=center><code>start</code></td>
  * <td align=center><code>null</code></td>
  * <td>Container was started.</td>
  * </tr>
  * <tr>
  * <td align=center><code>stop</code></td>
  * <td align=center><code>null</code></td>
  * <td>Container was stopped.</td>
  * </tr>
  * </table>
  * Subclasses that fire additional events should document them in the
  * class comments of the implementation class.
  * 
  * TODO: Review synchronisation around background processing. See bug 47024. 
  * 
  * @author Craig R. McClanahan
  */",no
58,Tomcat project,"/**
  * Add a context - programmatic mode, no default web.xml used. This means
  * that there is no JSP support (no JSP servlet), no default servlet and
  * no web socket support unless explicitly enabled via the programmatic
  * interface. There is also no
  * {@link javax.servlet.ServletContainerInitializer} processing and no
  * annotation processing. If a
  * {@link javax.servlet.ServletContainerInitializer} is added
  * programmatically, there will still be no scanning for
  * {@link javax.servlet.annotation.HandlesTypes} matches.
  *
  * API calls equivalent with web.xml:
  *
  * context-param
  * ctx.addParameter(""name"", ""value"");
  *
  *
  * error-page
  * ErrorPage ep = new ErrorPage();
  * ep.setErrorCode(500);
  * ep.setLocation(""/error.html"");
  * ctx.addErrorPage(ep);
  *
  * ctx.addMimeMapping(""ext"", ""type"");
  *
  * Note: If you reload the Context, all your configuration will be lost. If
  * you need reload support, consider using a LifecycleListener to provide
  * your configuration.
  *
  * TODO: add the rest
  *
  * @param contextPath """" for root context.
  * @param baseDir base dir for the context, for static files. Must exist,
  * relative to the server home
  */",no
59,Tomcat project,"/**
  * Add a context - programmatic mode, no default web.xml used. This means
  * that there is no JSP support (no JSP servlet), no default servlet and
  * no web socket support unless explicitly enabled via the programmatic
  * interface. There is also no
  * {@link javax.servlet.ServletContainerInitializer} processing and no
  * annotation processing. If a
  * {@link javax.servlet.ServletContainerInitializer} is added
  * programmatically, there will still be no scanning for
  * {@link javax.servlet.annotation.HandlesTypes} matches.
  *
  * API calls equivalent with web.xml:
  *
  * context-param
  * ctx.addParameter(""name"", ""value"");
  *
  *
  * error-page
  * ErrorPage ep = new ErrorPage();
  * ep.setErrorCode(500);
  * ep.setLocation(""/error.html"");
  * ctx.addErrorPage(ep);
  *
  * ctx.addMimeMapping(""ext"", ""type"");
  *
  * Note: If you reload the Context, all your configuration will be lost. If
  * you need reload support, consider using a LifecycleListener to provide
  * your configuration.
  *
  * TODO: add the rest
  *
  * @param contextPath """" for root context.
  * @param docBase base dir for the context, for static files. Must exist,
  * relative to the server home
  */",no
60,Hadoop project,"/**
  * Add a submission failed job , such that it can be communicated
  * back to serial.
  * TODO: Cleaner solution for this problem
  * @param job
  */",no
61,Hadoop project,"/**
  * Add a submission failed job , such tht it can be communicated
  * back to serial.
  * TODO: Cleaner solution for this problem
  * @param job
  */",no
62,Tomcat project,"/**
  * Add new data to the queue.
  * 
  * FIXME extract some method
  */",no
63,Tomcat project,"/**
  * Allows data to be written to the upgraded connection.
  *
  * TODO: Move this to a more appropriate package (TBD).
  *
  * TODO: Override more methods for efficiency.
  */",no
64,Tomcat project,"/**
  * Allows data to be written to the upgraded connection.
  *
  * TODO: Override more methods for efficiency.
  */",no
65,Tomcat project,"/**
  * Buffered DrawMessages that will be sent by a Timer.
  * TODO: This should be refactored to be in a Room-Player join class
  * as this is room-specific.
  */",no
