,clean_comment,On-hold or not
21, note on memory use from heap dump buffer be not yet recycle the bbuffers use in channel each active connection consume at least 26k 2 buffer head buffer 8k each todo could peak in the in buffer and move headrecv to httpchannel httpchannel keep about 64 k for the hello world res be 25k req be 32k bufferedioreader 16k todo leak in niothread active close socket not remove need to rate limit and queue request oom timeout seem few response miss on large async request url work,0
22, todo assertnotnull could not find inject endpoint bean getendpoint can not currently figure out how to be able to inject both endpoint and mockendpoint use a produces plugin without use explicit qualifi annotation to separate the two scenario which be a bit ugly,0
23, todo this do not work in jax rs yet public convertersfromresource getconvertersfrom pathparam type class type,0
24, because there be problem with jdk1 1 6 simpledateformat with recognize gmt pron have to create this workaround with the following hardcoded string,0
25, entitymanagerfactory emf getentitymanagerfactory jpatransactionmanager transactionmanager new jpatransactionmanager emf transactionmanager afterpropertiesset final transactiontemplate tranasctiontemplate new transactiontemplate transactionmanager tranasctiontemplate afterpropertiesset let auto default to a jpatemplate which implicitly create a transaction todo surely there be a clean way to get the jpatemplate to create a transaction if one be not present return new jpatemplate emf override public object execute final jpacallback action final boolean exposenativeentitymanager throw dataaccessexception return tranasctiontemplate execute new transactioncallback public object dointransaction transactionstatus status return doexecute action exposenativeentitymanager public object doexecute final jpacallback action final boolean exposenativeentitymanager throw dataaccessexception return super execute action exposenativeentitymanager,0
26, fixme may not need renamemapoutputforreduce anymore test local dir usercache user appcache appid contid cwd for container contain launch container sh script which when execute create symlink and set up env local dir usercache user appcache appid contid file out local dir usercache user appcache appid contid file out idx local dir usercache user appcache appid output taskid be where file out be move after maptask do oho no further need for this at all taskid be unique per subtask now should work fine to leave alone todo test with teragen or similar,0
27, fixme may not need renamemapoutputforreduce anymore test local dir usercache user appcache appid contid cwd for task contain task sh script which when execute create symlink and set up env local dir usercache user appcache appid contid file out local dir usercache user appcache appid contid file out idx local dir usercache user appcache appid output taskid be where file out be move after maptask do oho no further need for this at all taskid be unique per subtask now should work fine to leave alone todo test with teragen or similar,0
28, fixme need to do something reasonable here,0
29, note that get delegation token be call again this be hack for oozie to make sure pron add history server delegation token to the credential for the job since the api only allow one delegation token to be return pron have to add this hack ,0
30, one common reason be that namenode could be in safe mode should pron keep on retry in that case,0
31, one common reason be that namenode could be in safe mode should pron keep on retry in that case,0
32, should be this when multiple secure auth be support and pron can dummy one out assertequal authenticationmethod secure auth method getauthmethod true true false,0
33, special case xxx in future api make pron separate type,0
34, todo asserttrue processor should be a filterprocessor but be processor with type processor getclass getname processor instanceof filterprocessor filterprocessor filterprocessor filterprocessor processor sendprocessor sendprocessor sendprocessor filterprocessor getprocessor assertequal endpoint uri queue b sendprocessor getdestination getendpointuri,0
35, todo currently process to result in two separate operation which have pron own error handler to mock success,0
36, todo check for access modifier here ,0
37, todo check if assignment compatibility be sufficient what do sun do,0
38, xxx change this to a well implementation use a variable that keep track of the actual slotsuse value monitor all push es and pop s ,0
39, xxx xxx xxx need a major rewrite,0
40, link between jndi and jmx jndi can be use for persistence pron be an api for store hierarchical datum and a perfect fit for that as well as an alternate view of the mbean registry if this component be enable all mbeans will be register in jndi and all attribute that be set via jmx can be store in a dircontext this act as a recorder for creation of mbean and attribute change do via jmx xxx how can pron control filter which mbean will be registere or attribute xxx how can pron get the bean and attribute load before jndijmx the intend use do whatever pron want to start the application load jndijmx as an mbean make change via jmx all change be record pron can use jndijmx to save the change in a jndi context pron can use jndijmx to load change from a jndicontext and replay pron the main benefit be that only change attribute be save and the jndi layer can preserve most of the original structure of the config file the alternative be to override the config file with config info extract from the live object but pron be very hard to save only what be actually change and preserve structure and comment author costin manolache,0
41, do the compilation without jspservletwrapper options jasper jar in classpath pron do class forname for main todo exec jasper sh or any other script set in param todo redirect to a different servlet not use right see previous method for a safe approach param ctx param jsppath,0
42, todo copy for now from taskattemptimpl java fixme param strs return,0
43, a replacement char for xxx this be a hack to avoid change el interpreter to recognize,0
44, a route involve a external class aggregationstrategy throw exception todo fix this test,0
45, a route involve a external class aggregationstrategy todo fix this test,0
46, a route involve a external class camelexception throw exception todo fix this test,0
47, a route involve a external class validator throw exception todo fix this test,0
48, a route involve a external class validator todo fix this test,0
49, a set of route that use aggregate dsl throw exception todo fix this test,0
50, a single packet for communication between the web server and the container in a more generic sense pron be the event that drive the processing chain xxx use event make msg a particular case author henri gomez hgomez apache org author dan milstein danmil shore net author keith wannamaker keith wannamaker org author kevin seguin author costin manolache,0
51, a small mbean that will act as a proxy for mod jk2 for efficiency pron will get bulk result and cache pron pron can force an update by call the refreshattribute and refreshmetadata operation on this mbean todo implement the user pass auth right now pron must use ip base security todo eventually support https todo support for metadata mbean descriptor for description and type conversion todo filter out trivial component mutexe etc author costin manolache,0
52, a spnego authenticator that use the spengo kerberos support build in to java 6 successful kerberos authentication depend on the correct configuration of multiple component if the configuration be invalid the error message be often cryptic although a google search will usually point pron in the right direction p todo ul li add support for delegate credential need this if pron want to authenticate to a realm as the user this be likely to result in a fair amount of internal refactoring li ul p tbds ul li do the domain name have to be in upper case li li do the spn have to start with http li li can a port number be append to the end of the host in the spn li li can the domain be leave off the user in the ktpass command li li what be the limitation on the account that tomcat can run as spn associate account work domain admin work local admin do not work li ul,0
53, a wiretap with two parameter throw exception todo fix this test,0
54, abstract implementation of the b container b interface provide common functionality require by nearly every implementation class extend this base class must implement code getinfo code and may implement a replacement for code invoke code p all subclass of this abstract base class will include support for a pipeline object that define the processing to be perform for each request receive by the code invoke code method of this class utilize the chain of responsibility design pattern a subclass should encapsulate pron own processing functionality as a code valve code and configure this valve into the pipeline by call code setbasic code p this implementation fire property change event per the javabeans design pattern for change in singleton property in addition pron fire the follow code containerevent code event to listener who register pron with code addcontainerlistener code table border 1 tr th type th th datum th th description th tr tr td align center code addchild code td td align center code container code td td child container add to this container td tr tr td align center code addvalve code td td align center code valve code td td valve add to this container td tr tr td align center code removechild code td td align center code container code td td child container remove from this container td tr tr td align center code removevalve code td td align center code valve code td td valve remove from this container td tr tr td align center code start code td td align center code null code td td container be start td tr tr td align center code stop code td td align center code null code td td container be stop td tr table subclass that fire additional event should document pron in the class comment of the implementation class todo review synchronisation around background processing see bug 47024 author craig r mcclanahan,0
55, abstract implementation of the b container b interface provide common functionality require by nearly every implementation class extend this base class must may implement a replacement for code invoke code p all subclass of this abstract base class will include support for a pipeline object that define the processing to be perform for each request receive by the code invoke code method of this class utilize the chain of responsibility design pattern a subclass should encapsulate pron own processing functionality as a code valve code and configure this valve into the pipeline by call code setbasic code p this implementation fire property change event per the javabeans design pattern for change in singleton property in addition pron fire the follow code containerevent code event to listener who register pron with code addcontainerlistener code table border 1 tr th type th th datum th th description th tr tr td align center code addchild code td td align center code container code td td child container add to this container td tr tr td align center code link getpipeline pipeline addvalve code td td align center code valve code td td valve add to this container td tr tr td align center code removechild code td td align center code container code td td child container remove from this container td tr tr td align center code link getpipeline pipeline removevalve code td td align center code valve code td td valve remove from this container td tr tr td align center code start code td td align center code null code td td container be start td tr tr td align center code stop code td td align center code null code td td container be stop td tr table subclass that fire additional event should document pron in the class comment of the implementation class todo review synchronisation around background processing see bug 47024 author craig r mcclanahan,0
56, abstract implementation of the b container b interface provide common functionality require by nearly every implementation class extend this base class must may implement a replacement for code invoke code p all subclass of this abstract base class will include support for a pipeline object that define the processing to be perform for each request receive by the code invoke code method of this class utilize the chain of responsibility design pattern a subclass should encapsulate pron own processing functionality as a code valve code and configure this valve into the pipeline by call code setbasic code p this implementation fire property change event per the javabeans design pattern for change in singleton property in addition pron fire the follow code containerevent code event to listener who register pron with code addcontainerlistener code table border 1 tr th type th th datum th th description th tr tr td align center code addchild code td td align center code container code td td child container add to this container td tr tr td align center code addvalve code td td align center code valve code td td valve add to this container td tr tr td align center code removechild code td td align center code container code td td child container remove from this container td tr tr td align center code removevalve code td td align center code valve code td td valve remove from this container td tr tr td align center code start code td td align center code null code td td container be start td tr tr td align center code stop code td td align center code null code td td container be stop td tr table subclass that fire additional event should document pron in the class comment of the implementation class todo review synchronisation around background processing see bug 47024 author craig r mcclanahan,0
57, add a context programmatic mode no default web xml use this mean that there be no jsp support no jsp servlet no default servlet and no web socket support unless explicitly enable via the programmatic interface there be also no link javax servlet servletcontainerinitializer processing and no annotation processing if a link javax servlet servletcontainerinitializer be add programmatically there will still be no scanning for link javax servlet annotation handlestypes match api call equivalent with web xml context param ctx addparameter name value error page errorpage ep new errorpage ep seterrorcode 500 ep setlocation error html ctx adderrorpage ep ctx addmimemapping ext type note if pron reload the context all pron configuration will be lose if pron need reload support consider use a lifecyclelistener to provide pron configuration todo add the rest param contextpath for root context param basedir base dir for the context for static file must exist relative to the server home,0
58, add a context programmatic mode no default web xml use this mean that there be no jsp support no jsp servlet no default servlet and no web socket support unless explicitly enable via the programmatic interface there be also no link javax servlet servletcontainerinitializer processing and no annotation processing if a link javax servlet servletcontainerinitializer be add programmatically there will still be no scanning for link javax servlet annotation handlestypes match api call equivalent with web xml context param ctx addparameter name value error page errorpage ep new errorpage ep seterrorcode 500 ep setlocation error html ctx adderrorpage ep ctx addmimemapping ext type note if pron reload the context all pron configuration will be lose if pron need reload support consider use a lifecyclelistener to provide pron configuration todo add the rest param contextpath for root context param docbase base dir for the context for static file must exist relative to the server home,0
59, add a submission fail job such that pron can be communicate back to serial todo cleaner solution for this problem param job,0
60, add a submission fail job such tht pron can be communicate back to serial todo cleaner solution for this problem param job,0
61, add new datum to the queue fixme extract some method,0
62, allow datum to be write to the upgraded connection todo move this to a more appropriate package tbd todo override more method for efficiency ,0
63, allow datum to be write to the upgraded connection todo override more method for efficiency ,0
64, buffered drawmessages that will be send by a timer todo this should be refactore to be in a room player join class as this be room specific ,0
65, cgi invoke servlet for web application use to execute script which comply to the common gateway interface cgi specification and be name in the path info use to invoke this servlet p i note this code compile and even work for simple cgi case exhaustive testing have not be do please consider pron beta quality feedback be appreciate to the author see below i p p b example b br if an instance of this servlet be map use code lt web app gt web inf web xml code to p p code lt web app gt cgi bin code p p then the follow request p p code http localhost 8080 lt web app gt cgi bin dir1 script pathinfo1 code p p would result in the execution of the script p p code lt web app root gt web inf cgi dir1 script code p p with the script s code path info code set to code pathinfo1 code p p recommendation house all pron cgi script under code lt webapp gt web inf cgi code this will ensure that pron do not accidentally expose pron cgi script code to the outside world and that pron cgi will be cleanly ensconce underneath the web inf i e non content area p p the default cgi location be mention above pron have the flexibility to put cgis wherever pron want however p p the cgi search path will start at webapprootdir file separator cgipathprefix or webapprootdir alone if cgipathprefix be null p p cgipathprefix be define by set this servlet s cgipathprefix init parameter p p b cgi specification b br derive from a href http cgi spec golux com http cgi spec golux com a a work in progress expire internet draft note no actual rfc describe the cgi specification exist where the behavior of this servlet differ from the specification cite above pron be either document here a bug or an instance where the specification cite differ from best community practice bcp such instance should be well document here please email the a href mailto dev tomcat apache org tomcat group dev tomcat apache org a with amendment p p b canonical metavariable b br the cgi specification define the follow canonical metavariable br excerpt from cgi specification pre auth type content length content type gateway interface path info path translated query string remote addr remote host remote ident remote user request method script name server name server port server protocol server software pre p metavariables with name begin with the protocol name em e g em http accept be also canonical in pron description of request header field the number and meaning of these field may change independently of this specification see also section 6 1 5 of the cgi specification p end excerpt p h2 implementation note h2 p b standard input handling b if pron script accept standard input then the client must start send input within a certain timeout period otherwise the servlet will assume no input be come and carry on run the script the script be the standard input will be close and handling of any further input from the client be undefined most likely pron will be ignore if this behavior become undesirable then this servlet need to be enhance to handle threading of the spawn process stdin stdout and stderr which should not be too hard br if pron find pron cgi script be time out receive input pron can set the init parameter code code of pron webapps cgi handling servlet to be p p b metavariable value b accord to the cgi specification implementation may choose to represent both null or miss value in an implementation specific manner but must define that manner this implementation choose to always define all require metavariable but set the value to for all metavariable whose value be either null or undefined path translated be the sole exception to this rule as per the cgi specification p p b nph non parse header implementation b this implementation do not support the cgi nph concept whereby server ensure that the datum supply to the script be precisely as supply by the client and unaltere by the server p p the function of a servlet container include tomcat be specifically design to parse and possible alter cgi specific variable and as such make nph functionality difficult to support p p the cgi specification state that compliant server may support nph output pron do not state server must support nph output to be unconditionally compliant thus this implementation maintain unconditional compliance with the specification though nph support be not present p p the cgi specification be locate at a href http cgi spec golux com http cgi spec golux com a p p h3 todo h3 ul li support for set header for example location header do not work li support for collapse multiple header line per rfc 2616 li ensure handle of post method do not interfere with 2 3 filter li refactor some debug code out of core li ensure header handle preserve encode li possibly rewrite cgirunner run li possibly refactor cgirunner and cgienvironment as non inner class li document handling of cgi stdin when there be no stdin li revisit ioexception handle in cgirunner run li better documentation li confirm use of servletinputstream available in cgirunner run be not need li add more to this todo list ul p author martin t dengler root martindengler com author amy roh since tomcat 4 0,0
66, cgi invoke servlet for web application use to execute script which comply to the common gateway interface cgi specification and be name in the path info use to invoke this servlet p i note this code compile and even work for simple cgi case exhaustive testing have not be do please consider pron beta quality feedback be appreciate to the author see below i p p b example b br if an instance of this servlet be map use code lt web app gt web inf web xml code to p p code lt web app gt cgi bin code p p then the follow request p p code http localhost 8080 lt web app gt cgi bin dir1 script pathinfo1 code p p would result in the execution of the script p p code lt web app root gt web inf cgi dir1 script code p p with the script s code path info code set to code pathinfo1 code p p recommendation house all pron cgi script under code lt webapp gt web inf cgi code this will ensure that pron do not accidentally expose pron cgi script code to the outside world and that pron cgi will be cleanly ensconce underneath the web inf i e non content area p p the default cgi location be mention above pron have the flexibility to put cgis wherever pron want however p p the cgi search path will start at webapprootdir file separator cgipathprefix or webapprootdir alone if cgipathprefix be null p p cgipathprefix be define by set this servlet s cgipathprefix init parameter p p b cgi specification b br derive from a href http cgi spec golux com http cgi spec golux com a a work in progress expire internet draft note no actual rfc describe the cgi specification exist where the behavior of this servlet differ from the specification cite above pron be either document here a bug or an instance where the specification cite differ from best community practice bcp such instance should be well document here please email the a href mailto dev tomcat apache org tomcat group dev tomcat apache org a with amendment p p b canonical metavariable b br the cgi specification define the follow canonical metavariable br excerpt from cgi specification pre auth type content length content type gateway interface path info path translated query string remote addr remote host remote ident remote user request method script name server name server port server protocol server software pre p metavariables with name begin with the protocol name em e g em http accept be also canonical in pron description of request header field the number and meaning of these field may change independently of this specification see also section 6 1 5 of the cgi specification p end excerpt p h2 implementation note h2 p b standard input handling b if pron script accept standard input then the client must start send input within a certain timeout period otherwise the servlet will assume no input be come and carry on run the script the script be the standard input will be close and handling of any further input from the client be undefined most likely pron will be ignore if this behavior become undesirable then this servlet need to be enhance to handle threading of the spawn process stdin stdout and stderr which should not be too hard br if pron find pron cgi script be time out receive input pron can set the init parameter code code of pron webapps cgi handling servlet to be p p b metavariable value b accord to the cgi specification implementation may choose to represent both null or miss value in an implementation specific manner but must define that manner this implementation choose to always define all require metavariable but set the value to for all metavariable whose value be either null or undefined path translated be the sole exception to this rule as per the cgi specification p p b nph non parse header implementation b this implementation do not support the cgi nph concept whereby server ensure that the datum supply to the script be precisely as supply by the client and unaltere by the server p p the function of a servlet container include tomcat be specifically design to parse and possible alter cgi specific variable and as such make nph functionality difficult to support p p the cgi specification state that compliant server may support nph output pron do not state server must support nph output to be unconditionally compliant thus this implementation maintain unconditional compliance with the specification though nph support be not present p p the cgi specification be locate at a href http cgi spec golux com http cgi spec golux com a p p h3 todo h3 ul li support for set header for example location header do not work li support for collapse multiple header line per rfc 2616 li ensure handle of post method do not interfere with 2 3 filter li refactor some debug code out of core li ensure header handle preserve encode li possibly rewrite cgirunner run li possibly refactor cgirunner and cgienvironment as non inner class li document handling of cgi stdin when there be no stdin li revisit ioexception handle in cgirunner run li better documentation li confirm use of servletinputstream available in cgirunner run be not need li add more to this todo list ul p author martin t dengler root martindengler com author amy roh version pron d since tomcat 4 0,0
67, cgi invoke servlet for web application use to execute script which comply to the common gateway interface cgi specification and be name in the path info use to invoke this servlet p i note this code compile and even work for simple cgi case exhaustive testing have not be do please consider pron beta quality feedback be appreciate to the author see below i p p b example b br if an instance of this servlet be map use code lt web app gt web inf web xml code to p p code lt web app gt cgi bin code p p then the follow request p p code http localhost 8080 lt web app gt cgi bin dir1 script pathinfo1 code p p would result in the execution of the script p p code lt web app root gt web inf cgi dir1 script code p p with the script s code path info code set to code pathinfo1 code p p recommendation house all pron cgi script under code lt webapp gt web inf cgi code this will ensure that pron do not accidentally expose pron cgi script code to the outside world and that pron cgi will be cleanly ensconce underneath the web inf i e non content area p p the default cgi location be mention above pron have the flexibility to put cgis wherever pron want however p p the cgi search path will start at webapprootdir file separator cgipathprefix or webapprootdir alone if cgipathprefix be null p p cgipathprefix be define by set this servlet s cgipathprefix init parameter p p b cgi specification b br derive from a href http cgi spec golux com http cgi spec golux com a a work in progress expire internet draft note no actual rfc describe the cgi specification exist where the behavior of this servlet differ from the specification cite above pron be either document here a bug or an instance where the specification cite differ from best community practice bcp such instance should be well document here please email the a href mailto dev tomcat apache org tomcat group dev tomcat apache org a with amendment p p b canonical metavariable b br the cgi specification define the follow canonical metavariable br excerpt from cgi specification pre auth type content length content type gateway interface path info path translated query string remote addr remote host remote ident remote user request method script name server name server port server protocol server software pre p metavariables with name begin with the protocol name em e g em http accept be also canonical in pron description of request header field the number and meaning of these field may change independently of this specification see also section 6 1 5 of the cgi specification p end excerpt p h2 implementation note h2 p b standard input handling b if pron script accept standard input then the client must start send input within a certain timeout period otherwise the servlet will assume no input be come and carry on run the script the script be the standard input will be close and handling of any further input from the client be undefined most likely pron will be ignore if this behavior become undesirable then this servlet need to be enhance to handle threading of the spawn process stdin stdout and stderr which should not be too hard br if pron find pron cgi script be time out receive input pron can set the init parameter code code of pron webapps cgi handling servlet to be p p b metavariable value b accord to the cgi specification implementation may choose to represent both null or miss value in an implementation specific manner but must define that manner this implementation choose to always define all require metavariable but set the value to for all metavariable whose value be either null or undefined path translated be the sole exception to this rule as per the cgi specification p p b nph non parse header implementation b this implementation do not support the cgi nph concept whereby server ensure that the datum supply to the script be precisely as supply by the client and unaltere by the server p p the function of a servlet container include tomcat be specifically design to parse and possible alter cgi specific variable and as such make nph functionality difficult to support p p the cgi specification state that compliant server may support nph output pron do not state server must support nph output to be unconditionally compliant thus this implementation maintain unconditional compliance with the specification though nph support be not present p p the cgi specification be locate at a href http cgi spec golux com http cgi spec golux com a p p h3 todo h3 ul li support for set header for example location header do not work li support for collapse multiple header line per rfc 2616 li ensure handle of post method do not interfere with 2 3 filter li refactor some debug code out of core li ensure header handle preserve encode li possibly rewrite cgirunner run li possibly refactor cgirunner and cgienvironment as non inner class li document handling of cgi stdin when there be no stdin li revisit ioexception handle in cgirunner run li better documentation li confirm use of servletinputstream available in cgirunner run be not need li make check for and in servlet cgi path info less draconian li add more to this todo list ul p author martin t dengler root martindengler com author amy roh version pron d since tomcat 4 0,0
68, cgi invoke servlet for web application use to execute script which comply to the common gateway interface cgi specification and be name in the path info use to invoke this servlet p i note this code compile and even work for simple cgi case exhaustive testing have not be do please consider pron beta quality feedback be appreciate to the author see below i p p b example b br if an instance of this servlet be map use code lt web app gt web inf web xml code to p p code lt web app gt cgi bin code p p then the follow request p p code http localhost 8080 lt web app gt cgi bin dir1 script pathinfo1 code p p would result in the execution of the script p p code lt web app root gt web inf cgi dir1 script code p p with the script s code path info code set to code pathinfo1 code p p recommendation house all pron cgi script under code lt webapp gt web inf cgi code this will ensure that pron do not accidentally expose pron cgi script code to the outside world and that pron cgi will be cleanly ensconce underneath the web inf i e non content area p p the default cgi location be mention above pron have the flexibility to put cgis wherever pron want however p p the cgi search path will start at webapprootdir file separator cgipathprefix or webapprootdir alone if cgipathprefix be null p p cgipathprefix be define by set this servlet s cgipathprefix init parameter p p b cgi specification b br derive from a href http cgi spec golux com http cgi spec golux com a a work in progress expire internet draft note no actual rfc describe the cgi specification exist where the behavior of this servlet differ from the specification cite above pron be either document here a bug or an instance where the specification cite differ from best community practice bcp such instance should be well document here please email the a href mailto dev tomcat apache org tomcat group dev tomcat apache org a with amendment p p b canonical metavariable b br the cgi specification define the follow canonical metavariable br excerpt from cgi specification pre auth type content length content type gateway interface path info path translated query string remote addr remote host remote ident remote user request method script name server name server port server protocol server software pre p metavariables with name begin with the protocol name em e g em http accept be also canonical in pron description of request header field the number and meaning of these field may change independently of this specification see also section 6 1 5 of the cgi specification p end excerpt p h2 implementation note h2 p b standard input handling b if pron script accept standard input then the client must start send input within a certain timeout period otherwise the servlet will assume no input be come and carry on run the script the script be the standard input will be close and handling of any further input from the client be undefined most likely pron will be ignore if this behavior become undesirable then this servlet need to be enhance to handle threading of the spawn process stdin stdout and stderr which should not be too hard br if pron find pron cgi script be time out receive input pron can set the init parameter code code of pron webapps cgi handling servlet to be p p b metavariable value b accord to the cgi specification implementation may choose to represent both null or miss value in an implementation specific manner but must define that manner this implementation choose to always define all require metavariable but set the value to for all metavariable whose value be either null or undefined path translated be the sole exception to this rule as per the cgi specification p p b nph non parse header implementation b this implementation do not support the cgi nph concept whereby server ensure that the datum supply to the script be precisely as supply by the client and unaltere by the server p p the function of a servlet container include tomcat be specifically design to parse and possible alter cgi specific variable and as such make nph functionality difficult to support p p the cgi specification state that compliant server may support nph output pron do not state server must support nph output to be unconditionally compliant thus this implementation maintain unconditional compliance with the specification though nph support be not present p p the cgi specification be locate at a href http cgi spec golux com http cgi spec golux com a p p h3 todo h3 ul li support for set header for example location header do not work li support for collapse multiple header line per rfc 2616 li ensure handle of post method do not interfere with 2 3 filter li refactor some debug code out of core li ensure header handle preserve encode li possibly rewrite cgirunner run li possibly refactor cgirunner and cgienvironment as non inner class li document handling of cgi stdin when there be no stdin li revisit ioexception handle in cgirunner run li better documentation li confirm use of servletinputstream available in cgirunner run be not need li make check for and in servlet cgi path info less draconian li add more to this todo list ul p author martin t dengler root martindengler com author amy roh version revision date since tomcat 4 0,0
